x,y,z,k_iso,poros,fac,azim,dip,lnK
3.5,17.5,3.7500000000000004,0.00010198890783997006,0.20633595131004462,2.0,0.0,0.0,-9.19064649726031
3.5,17.5,3.8500000000000005,5.288748732525625e-05,0.18478751203909394,2.0,0.0,0.0,-9.847343781572926
3.5,17.5,3.9500000000000006,6.481319810963868e-05,0.1879241814759756,2.0,0.0,0.0,-9.644001300813425
3.5,17.5,4.050000000000001,0.00011276277221884397,0.1894130376913689,2.0,0.0,0.0,-9.09022430689425
3.5,17.5,4.15,0.00012566467263919377,0.19364721308885896,2.0,0.0,0.0,-8.981893526902887
3.5,17.5,4.250000000000001,0.00012918654104731426,0.20002446397955123,2.0,0.0,0.0,-8.954253143502411
3.5,17.5,4.3500000000000005,0.0002800734561512177,0.2059127424598163,2.0,0.0,0.0,-8.18045864580383
3.5,17.5,4.450000000000001,0.0005544957213812671,0.21739136954346738,2.0,0.0,0.0,-7.497451467378073
3.5,17.5,4.550000000000001,0.00035048537684121274,0.21613720855073593,2.0,0.0,0.0,-7.956191573212428
3.5,17.5,4.65,0.00039645442177360977,0.20931452957065036,2.0,0.0,0.0,-7.832949474887433
3.5,17.5,4.750000000000001,0.00018726883605241443,0.2182537189376237,2.0,0.0,0.0,-8.582965347555785
3.5,17.5,4.8500000000000005,0.00015718869688133107,0.2241445489303683,2.0,0.0,0.0,-8.758063583344812
3.5,17.5,4.950000000000001,7.209746768517947e-05,0.21659440998712198,2.0,0.0,0.0,-9.537491636548431
3.5,17.5,5.050000000000001,5.747443992222754e-05,0.20590851731992676,2.0,0.0,0.0,-9.764170232082343
3.5,17.5,5.150000000000001,8.809622028833245e-05,0.1915146241883255,2.0,0.0,0.0,-9.337080928458569
3.5,17.5,5.250000000000001,8.445194929735742e-05,0.1843558498982324,2.0,0.0,0.0,-9.379327832710931
3.5,17.5,5.3500000000000005,0.00016458231324207716,0.18666592469711543,2.0,0.0,0.0,-8.712099728459082
3.5,17.5,5.450000000000001,0.0001255762066896117,0.18816857632135298,2.0,0.0,0.0,-8.982597759060285
3.5,17.5,5.550000000000001,0.00016749652979612897,0.19842219454648627,2.0,0.0,0.0,-8.694547924548816
3.5,17.5,5.650000000000001,0.0003667834816968135,0.19599606861415225,2.0,0.0,0.0,-7.9107388521379525
3.5,17.5,5.750000000000001,0.0004635108284057296,0.199231971970533,2.0,0.0,0.0,-7.676680810975099
3.5,17.5,5.8500000000000005,0.00012273491350155166,0.20155316148954255,2.0,0.0,0.0,-9.005483703107338
3.5,17.5,5.950000000000001,0.003603768440579007,0.2911271959718504,1.0,-14.936488341605537,1.1866974993257222,-5.62577519197196
3.5,17.5,6.050000000000001,0.004985721124593403,0.30885670725842784,1.0,-14.936488341605537,1.1866974993257222,-5.3011772271350575
3.5,17.5,6.150000000000001,0.011719763083134657,0.31875517461911757,1.0,-14.936488341605537,1.1866974993257222,-4.446478709787194
3.5,17.5,6.250000000000001,0.02064342311197374,0.3142251391177268,1.0,-14.936488341605537,1.1866974993257222,-3.8803585036717685
3.5,17.5,6.350000000000001,0.02667659050082298,0.2958728460228007,1.0,-14.936488341605537,1.1866974993257222,-3.6239688584238254
3.5,17.5,6.450000000000001,0.0430495821810145,0.2801591474233251,1.0,-14.936488341605537,1.1866974993257222,-3.1454027535906985
